,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,CuyTC8FLICY,Anitta - Girl From Rio (Official Music Video),2021-04-30T13:00:15Z,UCqjjyPUghDSSKFBABM_CXMw,Anitta,10,2021-05-01T00:00:00Z,Anitta|Melody|Funk|Pop|girl from rio|loco|cardi b|lyrics|anitta lyrics|anitta girl from rio|official video,4531868,665881,15025,112438,https://i.ytimg.com/vi/CuyTC8FLICY/default.jpg,False,False
1,Vfd7H69OnM0,"OUTFIT VALIOSO 2: Mc's Cebezinho, Hariel, Salvador da Rima, Ryan SP e KayBlack (DJ Oreia e DJ Boy)",2021-04-30T15:00:17Z,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,10,2021-05-01T00:00:00Z,gr6|gr6 explode|funk|mc|música|música de funk|musicas|funk 2021|gr6 lançamentos 2021|Outfit Valioso|Outfit Valioso 2,864300,106907,918,3171,https://i.ytimg.com/vi/Vfd7H69OnM0/default.jpg,False,False
2,3j1Gh0MHGa8,Quando vou ao mercado pra minha mãe 😅,2021-04-30T20:23:39Z,UCdekrr_0WJp8NEAeIHLEmMw,Priscilinha,22,2021-05-01T00:00:00Z,[None],395236,51578,1569,189,https://i.ytimg.com/vi/3j1Gh0MHGa8/default.jpg,False,False
3,276UDlpmyEs,Marília Mendonça - Rosa Embriagada,2021-04-30T14:00:17Z,UCwfEOn0O1DWcyTgzVVu28ig,Marília Mendonça,10,2021-05-01T00:00:00Z,marilia mendonça|patroas|workshow|lançamento|topsertanejo|modão|lançamento 2021|Deprê|lançamento Marília Mendonça|Rosa Embriagada|Foi Por Conveniência,933637,68280,858,1955,https://i.ytimg.com/vi/276UDlpmyEs/default.jpg,False,False
4,x9zPvAKJ860,"NETO PISTOLA!!! MANDA O MANCINI EMBORA, AFIRMA CRAQUE | OS DONOS DA BOLA",2021-04-30T16:20:35Z,UCjlcZ5YIXlBTaob0BkS_gDg,Os Donos da Bola,17,2021-05-01T00:00:00Z,corinthians|crise|mancini|neto|os donos da bola|timao,253074,15737,306,1474,https://i.ytimg.com/vi/x9zPvAKJ860/default.jpg,False,False
5,6PYHzHWPrq8,Rafah ft. Krawk - Nós Dois Contra o Mundo [Clipe Oficial part. Loud Babi e Chrix],2021-04-30T23:38:49Z,UCZod1DuNQXdzZ_ieeGY88hA,Rafah,10,2021-05-01T00:00:00Z,música|freefire|pop|rap|trap|music|games|gamer|rafah|garena,73038,27912,108,3172,https://i.ytimg.com/vi/6PYHzHWPrq8/default.jpg,False,False
6,hyprycSKqS8,Jungle Warden (Clash of Clans Season Challenges),2021-05-01T07:59:38Z,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,20,2021-05-01T00:00:00Z,clash of clans|COC|Clash of Clans Gameplay|Clash of Clans Strategy|Clash of Clans Animation|Clash of Clans Commercial|Clash of Clans Attacks|Clash of Clans Town Hall|Hog Rider|PEKKA|Clan Wars|season challenges|clan war leagues|clash on|clan game|clan games|jungle warden|welcome to the jungle|grand warden|gold pass|new skin,1685589,59042,1330,3107,https://i.ytimg.com/vi/hyprycSKqS8/default.jpg,False,False
7,BD9kQ9jOIc0,QUANDO SUA FAMILIA É DESASTRADA,2021-04-30T23:30:25Z,UC-avDbSeXrTlHQ1QVzlbaog,Oli Natu,22,2021-05-01T00:00:00Z,viral|humor|esquetes|familia|irmaos|engraçado|shorts,117965,21620,332,237,https://i.ytimg.com/vi/BD9kQ9jOIc0/default.jpg,False,False
8,VVAUFzg8OKs,Hugo e Guilherme - Pingo de Dó I DVD No Pelo 3,2021-04-30T14:00:14Z,UClGt31UbcgINSaH1ZHuFLxA,Hugo e Guilherme,10,2021-05-01T00:00:00Z,hugo e guilherme|henrique e juliano|maiara e maraisa|na maldade|imagina|no pelo|hugo|guilherme|sucesso sertanejo|lançamento,253794,15884,128,3797,https://i.ytimg.com/vi/VVAUFzg8OKs/default.jpg,False,False
9,_ysomCGaZLw,ITZY 마.피.아. In the morning M/V,2021-04-30T04:00:16Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,2021-05-01T00:00:00Z,JYP Entertainment|JYP|ITZY|있지|ITZY Video|ITZY Yeji|ITZY Lia|ITZY Ryujin|ITZY Chaeryeong|ITZY Yuna|있지 예지|있지 리아|있지 류진|있지 채령|있지 유나|예지|리아|류진|채령|유나|Yeji|Lia|Ryujin|Chaeryeong|Yuna|ITZY BEHIND|ITZY VIDEOS|ITZY DEBUT|있지 데뷔|not shy|ITZY GUESS WHO|ITZY TEASER|있지 티저|GUESS WHO 티저|있지 뮤비 티저|ITZY MV TEASER|ITZY MV|M/V|TEASER|있지 컴백|ITZY COMEBACK|마.피.아. In the morning|마.피.아. In the morning MV|마.피.아 In the morning 뮤비|마.피.아 In the morning|GUESS WHO,25226702,1706539,27302,202237,https://i.ytimg.com/vi/_ysomCGaZLw/default.jpg,False,False
10,oVPYa7QCmRg,[MV] eAeon(이이언) _ Don't(그러지 마)(feat. RM),2021-04-30T09:00:31Z,UCweOkPb1wVVH0Q0Tlj4a5Pw,1theK (원더케이),24,2021-05-01T00:00:00Z,K-POP|Kpop|1theK|원더케이|Original|1theK Original|TOP100|idol|아이돌|라이브|LIVE|멜론|원더케이 오리지널|음악|eAeon|이이언|Don't|그러지 마|RM,4825384,1143424,3028,248774,https://i.ytimg.com/vi/oVPYa7QCmRg/default.jpg,False,False
11,YreOOdtINhI,Rap do Sukuna (Jujutsu Kaisen) - O REI DAS MALDIÇÕES | Takeru Feat. Felícia Rock [Prod. 808 Ander],2021-04-30T20:00:16Z,UCTU_UNMxTPl-8xTeiFSYO6Q,Takeru,10,2021-05-01T00:00:00Z,Takeru|Rap|Tributo|Takr|Anime|Geek|Rap do Sukuna|Sukuna|Ryomen Sukuna|Itadori|Yuji Itadori|Jujutsu Kaisen|Satoru Gojo,101184,26141,102,1839,https://i.ytimg.com/vi/YreOOdtINhI/default.jpg,False,False
12,i1fRMW_4qjo,"Carlinhos Brown - Juliette, Mon Amour (Lyric Video)",2021-04-30T15:00:17Z,UCK6uetkrJqrM9YsLxO-fHcQ,Carlinhos Brown,10,2021-05-01T00:00:00Z,Carlinhos|brown|juliette freire|juliette monamour|bbb|big brother brasil 21|cactos|lyric video,142061,23768,267,2229,https://i.ytimg.com/vi/i1fRMW_4qjo/default.jpg,False,False
13,15-vLIZ_2mU,Little Mix - Confetti (Official Video) ft. Saweetie,2021-04-30T08:00:00Z,UCssD3_aDYhaG44mwP53CO0w,littlemixVEVO,10,2021-05-01T00:00:00Z,Saweetie|Jade|Leigh-Anne|Perrie Edwards|Sweet Melody|Official Music Video|Lyrics|feat|feature|Drag Queens|Drag UK|Bimini Bon Boulash|Tayce|touch|the search|power|secret love song|shout out to my ex|X factor|reaction|holiday|salute|break up song|bounce back|woman like me|music|pop|lil mix|littel|LM5|wings|icy girl|trio|black magic|remix|Girl group|best friend|my type|tap in|back to the streets|freestyle,3418219,357858,3575,51315,https://i.ytimg.com/vi/15-vLIZ_2mU/default.jpg,False,False
14,0KOVTTANuFQ,🚨PLANTÃO BBB21: “Vai ter VAR!” Fiuk pode perder vaga na Final; Ana Maria encurrala Pocah c/ verdade,2021-04-30T15:01:03Z,UC0LlPl_mWhIFqVxcH1l3xpQ,WebTVBrasileira,24,2021-05-01T00:00:00Z,bbb|bbb21|big brother brasil|rede bbb|webtvbrasileira|participantes do bbb21|bbb gshow|bbb globo|bbb 21 ao vivo|vinheta do bbb 21|eliminação|paredão|festa|prova do lider|reality show|programa 30/04/2021|programa 30\/04\/2021|paredão triplo|big fone|anjo|jogo da discordia|pipoca|camarote|quem ganhou o bbb21|quem foi eliminado do bbb21|quem saiu do bbb21|quem perdeu a prova|bate e volta bbb21|bbb 21 hoje|quem esta imune do bbb2|super quinta|super terça,704881,50648,1190,4342,https://i.ytimg.com/vi/0KOVTTANuFQ/default.jpg,False,False
15,UQSbhoIwpcE,Welisson - Brinde Pros Verdadeiros (Clipe Oficial),2021-04-30T22:00:20Z,UCgzN6Lwl3iGY0zxtlrb7Qug,WELISSON,10,2021-05-01T00:00:00Z,trap|musica|trap brasil|brasil|welisson|brinde pros verdadeiros|brinde|welisson trap|musica trap|cabra da peste|em alta|hit|melhores de 2021|musica brasil|verdadeiros,91379,31348,78,2569,https://i.ytimg.com/vi/UQSbhoIwpcE/default.jpg,False,False
16,rhncC0Gjc5w,Leandro Borges e Midian Lima - Que Tal (Oficial),2021-04-30T13:00:23Z,UC9jMFcUztj-dAulUypaM5dA,Leandro Borges,10,2021-05-01T00:00:00Z,Leandro Borges|Midian Lima|Que tal|Gospel music|#leandroborges|deus e eu|deus quer te fazer feliz|por que essa vontade agora de parar|eu nunca te deixarei|calma calma não se preocupe tenha calma|música nova|clipe oficial|vai ficar tudo bem|louvor|fica tudo bem|clipe|oficial|hinos evangélicos|música de deus|leandro borges vai dar certo|vai ficar tudo bem leandro borges|musica gospel|#midianlima|video oficial|leandroborges|midianlima|que tal você se levantar,125701,14416,91,847,https://i.ytimg.com/vi/rhncC0Gjc5w/default.jpg,False,False
17,dMqbt-YY8Ug,Canção e Louvor  - Depois do Mar (Vídeo Oficial),2021-04-30T15:00:18Z,UC9ub6coUFOE9BgT6r0PcEWA,duplacancaoelouvor,10,2021-05-01T00:00:00Z,canção e louvor|eu cuido de ti|cancao e louvor|Depois do mar|Calmaria|Claudia Cançao|Claudio louvor|Louvor|Lançamento|Gospel|2020|Hinos calmos|Pentecostal|onerpm gospel,110351,18356,87,1300,https://i.ytimg.com/vi/dMqbt-YY8Ug/default.jpg,False,False
18,pyjF3MdQPro,"Papai, cadê a mamãe???? #shorts",2021-04-30T15:00:15Z,UCNBo6DxgBmqCk_xe9JHB1nQ,Valéria Bitencourtt Rizzo,22,2021-05-01T00:00:00Z,Cadê a mamãe|Vídeos engraçados|Bateu o carro|Valeria Bitencourtt,123603,10581,581,89,https://i.ytimg.com/vi/pyjF3MdQPro/default.jpg,False,False
19,Cvofj7K_5Iw,Ariana Grande - POV (lyric and dance video),2021-04-30T16:00:08Z,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,10,2021-05-01T00:00:00Z,positions lyrics|positions lyrics ariana grande|ariana grande lyrics|lyrics ariana grande|lyrics ariana|ariana grande lyric video|pov lyric video|ariana grande pov lyric video|ariana grande positions|positions ariana grande|ariana grande|grande ariana|ariana grande positions album|positions album ariana grande|ariana|positions|ariana positions|positions ariana|ariana grand|ariana grande album|ariana grande pov lyrics,1624410,305739,4145,26516,https://i.ytimg.com/vi/Cvofj7K_5Iw/default.jpg,False,False
20,f_R8OHrTGwY,MASSACRE ALUCINANTE NA SEMIFINAL! Manchester United 6 x 2 Roma na Europa League | Melhores Momentos,2021-04-29T21:17:33Z,UCw5-xj3AKqEizC7MvHaIPqA,ESPN Brasil,17,2021-05-01T00:00:00Z,manchester united|gols united|gols cavani|cavani|rashford|golaços|melhores momentos|melhores momentos manchester united|roma x manchester united|manchester united x roma|futebol ao vivo|gols da rodada|futebol|liga europa|europa league|gols europa league|semifinal europa league|melhores momentos europa league|melhores momentos liga europa|united x roma|gols roma|semifinal|semi europa league|fox|fox sports|espn|espn brasill,844941,32832,415,1725,https://i.ytimg.com/vi/f_R8OHrTGwY/default.jpg,False,False
21,44cryTXZc3I,Melhores Momentos | Lanus 1 x 2 Grêmio | Fase de Grupos | Sudamericana 2021,2021-04-30T02:54:13Z,UCFHE5FRBeksxt7YoFPGeKPw,CONMEBOL Sudamericana,17,2021-05-01T00:00:00Z,sul-americana|conmebol sul-americana|copa sul-americana|sula|gols|goles|goals|resumen|melhores momentos|futebol|futbol|soccer|sulamericana|sudamericana,169189,1918,79,186,https://i.ytimg.com/vi/44cryTXZc3I/default.jpg,False,False
22,fzeWc3zh01g,Billie Eilish - Your Power (Official Music Video),2021-04-29T16:00:33Z,UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO,10,2021-05-01T00:00:00Z,Billie|Eilish|Your|Power|Darkroom/Interscope|Records|Alternative,20150780,2177003,26006,164459,https://i.ytimg.com/vi/fzeWc3zh01g/default.jpg,False,False
23,w7Cd6PY1yVw,NINGUÉM ACREDITOU NO MEU CARRO NOVO NA LOUD!!,2021-04-30T15:00:33Z,UCo8UIFqfJm5EF6YC9GwbntQ,LOUD MOB,24,2021-05-01T00:00:00Z,loud mob|loud|Mob|pegadinhas|vlogs|carro|novo|coringa|guxta|meu|ninguém|acreditou,88708,20237,128,531,https://i.ytimg.com/vi/w7Cd6PY1yVw/default.jpg,False,False
24,q8l8bTWhXZ4,Orochi ARRASTA PRA CIMA (prod. Ajaxx),2021-04-29T19:15:14Z,UCQSDP7H4BINtrZ0bJc_FNIA,Orochi,10,2021-05-01T00:00:00Z,Orochi|orochi balao|balao|Orochi amor de fim de noite|amor de fim de noite|mainstreet|mainstreet records|album orochi|matue|album matue|teto|album teto|bin|borges|poze|mc Poze do rodo|30praum|djonga|ret|filipe ret|cabelinho|mc cabelinho|recayd|trap|GR6|free fire|saturno|bin saturno|vida louca poze|vida louca|trap rj|assault|assault poze|assault mainstreet|poesia acustica|pineapple|perfil pineapple|poetas no topo|favela vive,962589,92125,589,2473,https://i.ytimg.com/vi/q8l8bTWhXZ4/default.jpg,False,False
25,ZAxLdf8nZOg,Como fazer um isqueiro que não queima o dedo,2021-04-30T13:55:18Z,UCb2Ze3mpX42h8rl-rYsFCYw,Barone #Shorts,24,2021-05-01T00:00:00Z,#shorts|shorts|barone|viral|diy|life hack|experimento|teste,196990,16344,335,121,https://i.ytimg.com/vi/ZAxLdf8nZOg/default.jpg,False,False
26,NYvbbpA8dOg,Melhores Momentos | Corinthians 0 x 2 Peñarol | Fase de Grupos | Sudamericana 2021,2021-04-30T00:46:29Z,UCFHE5FRBeksxt7YoFPGeKPw,CONMEBOL Sudamericana,17,2021-05-01T00:00:00Z,sul-americana|conmebol sul-americana|copa sul-americana|sula|gols|goles|goals|resumen|melhores momentos|futebol|futbol|soccer|sulamericana|sudamericana|corinthians|corinthians sula|corinthians peñarol|corinthians sulamericana,225929,1970,169,540,https://i.ytimg.com/vi/NYvbbpA8dOg/default.jpg,False,False
27,u0IVkse40Eo,Adeus Bye Bye,2021-04-29T10:19:33Z,UCv-bPoBLxRUMU8oVhaAhN0A,Márcia Fellipe - Topic,10,2021-05-01T00:00:00Z,MÁRCIA FELLIPE|TARCÍSIO DO ACORDEON|Adeus Bye Bye,145100,1134,87,0,https://i.ytimg.com/vi/u0IVkse40Eo/default.jpg,False,False
28,1lcfw9FwGic,CHOREI VENDO A NOVA PARTE INTERNA! 😢 SAVEIRO DOS SONHOS! #2,2021-04-29T21:00:01Z,UCU7uY3wCPh9j39KXzOpqNaw,Julio Cocielo,24,2021-05-01T00:00:00Z,canalcanalha|vlog|julio|cocielo|soloadois|#canalharesponde|pintoplays|@canalcanalha|@juliococielo|a saveiro dos sonhos|fullpower|carro|saveiro|dailyvlog|divertido|engraçado|carros|presente|youtube|10 milhoes|episodio 2|interna|som|paredão|banco de couro|tapeçaria|novo som|atualização|mc rozi|segunda temporada|envelopamento|hybrido|chorou|nostalgia,742703,120217,282,1374,https://i.ytimg.com/vi/1lcfw9FwGic/default.jpg,False,False
29,lwBF-QwYwBo,ITZY(있지) - 마.피.아. In the morning(Mafia In the morning) (Music Bank) | KBS WORLD TV 210430,2021-04-30T09:18:11Z,UC5BMQOsAB8hKUyHu9KI6yig,KBS WORLD TV,24,2021-05-01T00:00:00Z,kbs|kbsworld|kbs world|韓流|放送|韩国综艺|韩国电视剧|truyền hình Hàn Quốc|ประเทศเกาหลีใต้|ละคร|Corea|Corée|دراما|دراما كورية|kbskpop|yt:cc=on|kpop|KBSWorld|Korea|Korean|Drama|KBS|K-Pop|Entertainment|Documentary|Music|Bank|영어자막|English|Subtitle|kbsworldTV|Caption|World|뮤직뱅크|musicbank|kbs월드|월드TV|kbs 월드|world tv|worlddtv|koreaTV|koreanTV|korea TV|korean TV|케이팝|kTV|K TV|한국방송|월드|eng|sub eng|South Korea|idol stage|idol|KBS WORLD TV|ITZY|있지|마.피.아. In the morning|Mafia In the morning,2561440,241422,4960,8382,https://i.ytimg.com/vi/lwBF-QwYwBo/default.jpg,False,False
30,9Xgz6As_S54,"Tayrone, Gustavo Mioto - Educadamente (Ao Vivo Em Goiânia / 2021)",2021-04-30T14:01:28Z,UCzoCn4EBk3p5lYWgY_MGhLQ,TayroneVEVO,10,2021-05-01T00:00:00Z,Tayrone|Gustavo|Mioto|Educadamente|(Ao|Vivo|Goiânia|2021)|Universal|Music|Ltda.|Sertanejo|tayrone|edilene|bobo em dobro|gustavo mioto|despedida de casal|solteiro não trai|mistura|sertanejo 2021|forró 2021|forronejo|paredão|paredão 2021,90313,3822,46,195,https://i.ytimg.com/vi/9Xgz6As_S54/default.jpg,False,False
31,vE-C4Fw9bHE,CRIANÇA DE RICO E CRIANÇA DE POBRE,2021-04-30T23:00:23Z,UCVVksn-TMGmkwvirl_neMWw,Jooj Natu,24,2021-05-01T00:00:00Z,baby jooj|baby jeredy|jeredy|jooj natu|jooj|whindersson nunes|criança|de|rico|criança de rico|pobre|criança de pobre|VS|filho rico|filho pobre|mãe rica|mãe pobre|mimado|engraçado|neném|whindersson jeredy|nunes,739361,91711,1456,1543,https://i.ytimg.com/vi/vE-C4Fw9bHE/default.jpg,False,False
32,2sBRnnnZyFw,Twenty One Pilots - Choker (Official Video),2021-04-30T04:00:15Z,UCBQZwaNPFfJ1gZ1fLZpAEGw,twenty one pilots,10,2021-05-01T00:00:00Z,scaled and icy|twenty one pilots|twenty one pilots choker|choker scaled and icy|twenty one pilots official video|choker official video|scaled and icy official video|twentyonepilots|scale and icy|21 pilots choker|twenty one pilots toy store|21pilots toy store|i was born a choker|choker lyrics|twenty one pilots lyrics|twenty one pilots SAI|21pilots|21pilots official video|tyler joseph toy store|tyler joseph|top official video|twenty one pilots jim|jim dun,2897659,455025,2216,30970,https://i.ytimg.com/vi/2sBRnnnZyFw/default.jpg,False,False
33,LZZWLBqTeyM,BASTIDORES: SÃO PAULO 2x0 RENTISTAS-URU | SPFCTV,2021-04-30T23:19:06Z,UCX3zTAsEoZ61rQMYb_08Tow,São Paulo FC,17,2021-05-01T00:00:00Z,saopaulofctv|SPFC|tricolor|São Paulo|Morumbi|sao paulo|gols da rodada|spfctv|Made in Cotia|#Madeincotia|Bastidores|Boletim de treino|Libertadores|Pablo|Reinaldo|Pênalti|Hernán|Crespo|Rentistas|Uruguai,256201,42860,82,1778,https://i.ytimg.com/vi/LZZWLBqTeyM/default.jpg,False,False
34,XgZFmSGFWEE,DIÁRIO DA GRAVIDEZ: passei mal duas noites seguidas! 😭,2021-04-30T15:00:25Z,UCK1DhsDKnTiffbQXnrkwSXA,Lore Improta,24,2021-05-01T00:00:00Z,lore improta|lore improta coreografia|lorena improta,192019,20865,153,1005,https://i.ytimg.com/vi/XgZFmSGFWEE/default.jpg,False,False
35,rRLHplYjENQ,INVADI AS DIRECTS QUE VCS MANDARAM PRO VICTOR,2021-04-30T13:07:15Z,UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto,24,2021-05-01T00:00:00Z,felipe neto|irmãos neto|among us|among|victor|live|impostor|tripulante|mod|hack,796970,140549,1579,10333,https://i.ytimg.com/vi/rRLHplYjENQ/default.jpg,False,False
36,wPUASeXwcQY,TÕE É TROLLADO POR CHARLLES E VANESSA E CAI DA CADEIRA😂,2021-04-29T20:00:11Z,UCAjvBBC4WMxii99cvU8Wr9A,Vanessa Raquel,23,2021-05-01T00:00:00Z,vanessaraquel|tiringaoficial|comédia selvagem|charllesrekson|charllesetiringa|lopim|lopimetiringa|araraassaltante|comedia|tiringa|charlles|serra talhada|charles|toinha|tiringa oficial|brasil selvagem|tiringamentiroso|tiringa e lopim|tente não rir|charles reckson|chácara|chácaracomédiaselvagem|youtube|serra talhada pernambuco|serra talhada pernambuco tiringa|inscritos no youtube|sertão|interior|tõe e o sapo|vanessa e charles|tõe filho de tiringa|vanessa e toi,669319,67322,1365,1208,https://i.ytimg.com/vi/wPUASeXwcQY/default.jpg,False,False
37,AbrHzXshWSc,ROTINA DE VIAGEM - VIMOS GOLFINHOS NA PRAIA - NAPLES/FL,2021-04-29T14:00:03Z,UC040XFJEsSRhTkmieXp1kDQ,Família Maria Clara e JP,22,2021-05-01T00:00:00Z,maria clara|jp|maria clara e jp|familia maria clara e jp|familia|daily vlog|naples florida|naples beach florida|spring break|rotina de viagem,446455,9890,1030,0,https://i.ytimg.com/vi/AbrHzXshWSc/default.jpg,True,False
38,lj0Irp1wPS8,🔥FIUK NA FINAL e Gil REVELA MOTIVO da DESISTÊNCIA; Fiuk CHORA e ATITUDE dos ADM PREOCUPA BBB21,2021-04-30T14:10:54Z,UCJJIQ6h9ZY4uLUx9CZ2BrMw,Já contei? por Ju Nogueira,24,2021-05-01T00:00:00Z,reality|show|famosos|celebridades|ju nogueira|ja contei|fofoca|treta|babado|babados dos youtubers|ontem|hoje|amanha|videos no youtube|polemica|babados|fiuk vence|prova bbb21|prova bbb21 ao vivo|prova ao vivo do bbb|bbb21 agora|plantao bbb21|web|ao vivo|fiuk video|gil video|gil desiste prova|fiuk ganha prova|fiuk na final|web ao vivo|video bbb21,473046,34744,470,6636,https://i.ytimg.com/vi/lj0Irp1wPS8/default.jpg,False,False
39,KZu7GXpYkLI,Desafio dos gols bonitos - Falcão x Dodô,2021-04-29T22:11:21Z,UCacMjDLANAoJmxSzxweAV4w,Falcão 12,17,2021-05-01T00:00:00Z,Falcão|Falcao|Falcão 12|futsal|futebol|indoor soccer|desafios|entrevistas de futebol|tricks|freestyle|dribles|carretilha|lambreta|soccer|best world player|brasil|Brazil|golaço|great goals|desafios de futebol|freestyle soccer|soccer skills|football skills|brazilian player|brazilian soccer|igor rezende|igor brazil kickers|Brazil Kickers|dodo|dodo futebol|Artilheiro dos Gols Bonitos|fluminense|falcao futsal|falcao gremio|falcao fut7|enzo mendes|flamarion,100510,10697,57,165,https://i.ytimg.com/vi/KZu7GXpYkLI/default.jpg,False,False
40,8MpUPmouKKY,FIZ A CIRURGIA BARIÁTRICA ‹ EduKof ›,2021-04-29T15:00:03Z,UCrGnb5RdHA9M6WGmBGYo4ZQ,AM3NlC,22,2021-05-01T00:00:00Z,VLOG|Estados|Unidos|EUA|Brasil|Brazil|Breakmen|Casa|House,728196,109759,561,5706,https://i.ytimg.com/vi/8MpUPmouKKY/default.jpg,False,False
41,JY0-t6cEq9Q,SAI DO HOSPITAL EM MENOS DE 24HRS  ‹ EduKof ›,2021-04-30T15:00:08Z,UCrGnb5RdHA9M6WGmBGYo4ZQ,AM3NlC,22,2021-05-01T00:00:00Z,VLOG|Estados|Unidos|EUA|Brasil|Brazil|Breakmen|Casa|House,438836,57539,218,897,https://i.ytimg.com/vi/JY0-t6cEq9Q/default.jpg,False,False
42,w5YuUt7RydQ,🚨PLANTÃO BBB21: Fiuk fez xixi?; Juliette desiste e se desespera; Pocah descobre o q é basculho,2021-04-30T09:48:09Z,UC0LlPl_mWhIFqVxcH1l3xpQ,WebTVBrasileira,24,2021-05-01T00:00:00Z,bbb|bbb21|big brother brasil|rede bbb|webtvbrasileira|participantes do bbb21|bbb gshow|bbb globo|bbb 21 ao vivo|vinheta do bbb 21|eliminação|paredão|festa|prova do lider|reality show|programa 30/04/2021|programa 30\/04\/2021|paredão triplo|big fone|anjo|jogo da discordia|pipoca|camarote|quem ganhou o bbb21|quem foi eliminado do bbb21|quem saiu do bbb21|quem perdeu a prova|bate e volta bbb21|bbb 21 hoje|quem esta imune do bbb2|super quinta|super terça,489191,43323,687,2707,https://i.ytimg.com/vi/w5YuUt7RydQ/default.jpg,False,False
43,S9ZK79QhwgY,Orochi SE O MUNDO ACABASSE HOJE feat. Borges  (prod.Ajaxx),2021-04-29T20:30:14Z,UCQSDP7H4BINtrZ0bJc_FNIA,Orochi,10,2021-05-01T00:00:00Z,Orochi|mainstreet|mainstreet records|album orochi|trap rj|rap|trap|rep|trep|trap brasil,693319,76886,408,2038,https://i.ytimg.com/vi/S9ZK79QhwgY/default.jpg,False,False
44,79xjG3Fy-28,COM 3 INGREDIENTES SEU LANCHINHO TA PRONTO!! EM 5 MINUTOS ELE JÁ TA NO FORNO!!,2021-04-29T18:19:28Z,UCkZ5ZHuK3biYMZEm5BgVfTQ,Bete com carinho,26,2021-05-01T00:00:00Z,bolinho com apenas 3 ingredientes|lanche da tarde com 3 ingredientes|como fazer bolinho de 3 ingredientes|lanche gostoso e fácil para o café da tarde|o que fazer de café da tarde|lanchinho fácil para o café|lanchinho com 3 ingredientes para o café,132103,18977,214,562,https://i.ytimg.com/vi/79xjG3Fy-28/default.jpg,False,False
45,vbhwGMYnhk0,TOP 8 CENAS TRAUMATIZANTES FORA DO TERROR,2021-04-29T21:46:43Z,UCE8deXi-Eea3SuEV1Q1L4ug,Super Oito,24,2021-05-01T00:00:00Z,top 8|cenas|traumatizantes|fora|terror|não terror|filmes|filme|suspense|aventura|drama|surpresa|top|lista|2021|top 10|mais|super oito|super 8|otavio uga|otavio|ugá,145680,26092,153,1343,https://i.ytimg.com/vi/vbhwGMYnhk0/default.jpg,False,False
46,3aseMdzhk_k,COMPRAMOS NOSSA CASA PRÓPRIA! 😍🏡,2021-04-29T17:31:05Z,UCSsadEMAlRA_az9L_I6pyIQ,Japa Chimenes,24,2021-05-01T00:00:00Z,[None],292097,49885,266,2778,https://i.ytimg.com/vi/3aseMdzhk_k/default.jpg,False,False
47,j28uJunCGaY,MINHA ESTREIA CONTRA O VASCO!,2021-04-29T15:17:25Z,UCfBw30ryGwSC-6YyTPseHPw,Cartoloucos,24,2021-05-01T00:00:00Z,cartolouco|vasco|resende|carioca|libertadores|flamengo|cartolouco vasco|cartolouco resende|jogador de futebol|vasco resende|cartolouco estreia|cartolouco jogador|gabigol|rogerio ceni|flamengo campeão|flamengo libertadores,306103,44819,344,2027,https://i.ytimg.com/vi/j28uJunCGaY/default.jpg,False,False
48,vw1j-fBT35o,MEU FILHO ENTROU NA CASA DAS SETE MULHERES *as meninas ficaram com vergonha,2021-04-29T15:40:12Z,UCfzgzFA3WhrkowZEWjQpWkA,IRENE NÓBREGA,24,2021-05-01T00:00:00Z,RENATO GARCIA|RENAN FIORINI|THIAGO REIS|LEO DA HORNET|BOQUINHA|HUNTERS SQUAD|GUI NOBRE|CAÇADORES DE LENDAS|LONDRINA|MULHER|FAMILIA|AMIGOS|FELICIDADE|ENTRETENIMENTO|COMEDIA|VLOG|FILHOS|MOTO|CARRO|CULINARIA|AVENTURA|VIAGEM|EMOÇÃO|ALEGRIA|ANIMAIS DE ESTIMAÇÃO|PET|TURISMO|LAZER|NATUREZA|YOUTUBERS DE LONDRINA|BELEZA|MANSÃO DE YOUTUBERS|VIAGEM EM FAMILIA|SUCESSO,196133,25920,315,1472,https://i.ytimg.com/vi/vw1j-fBT35o/default.jpg,False,False
49,XqOjzmElqTo,REAGINDO ao VÍDEO de 10 Fatos Sobre a Nossa Amizade | Depois das Onze,2021-04-28T21:39:13Z,UCWTFQQCg8Rn8LpOBbyiU0IA,Depois das Onze,23,2021-05-01T00:00:00Z,Playlist Depois das Onze|Depois Das Onze|Depois das 11|Gabi Fernandes|Gabie Fernandes|Gabriela|Fernandes|Thalita Meneghim|Humor|Comédia|Vlog|YouTube|Dia|Estúdio|DD11|Reação|React|Reagindo|Amizade|Amigas|Fatos sobre a nossa amizade|Reagindo a vídeo antigo|Curiosidades|Manias|dupla|react|vídeos antigos|memes|paródias,241303,43580,92,1850,https://i.ytimg.com/vi/XqOjzmElqTo/default.jpg,False,False
