,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,lwLSb1cq4gM,Pellam Vaddu Party Muddu | Extra Jabardasth|ETV New Year Special Event| Full Episode |31st Dec21|ETV,2021-12-31T19:35:14Z,UCnoqvTW4YZExfDeq7_Wmd-w,ETV Jabardasth,23,2022-01-01T00:00:00Z,pellam vaddu party muddu|pellam vaddu party muddu special event|pellam vaddu party muddu etv new year event|pellam vaddu party muddu episode|etv new year event 2022|etv events|etv new year events|etv telugu|etv show|telugu shows|etv|indraja|rashmi|hyper aadi|auto ram prasad|immanuel|varsha|varun sandesh|ram gopal varma|dhee|jabardasth|extra jabardasth|sridevi drama company|VishnuPriya|rgv|New Year Celebrations 2022|pellam vaddu party muddu full episode,2840348,63462,0,5190,https://i.ytimg.com/vi/lwLSb1cq4gM/default.jpg,False,False
1,Af0MJxJIAj8,Bacchi ne sahi kiya ya galat? #shorts #ytshorts #contentcreator #shadab707,2021-12-30T06:29:27Z,UCoxEmfaNM9eCqIER5KnjPxg,shadab5star,24,2022-01-01T00:00:00Z,[None],15284620,1306973,0,4106,https://i.ytimg.com/vi/Af0MJxJIAj8/default.jpg,False,False
2,4XmgqWXBnRA,Glimpse of LIGER | Vijay Deverakonda | Puri Jagannadh | Ananya Panday | Karan Johar | 25th August,2021-12-31T04:33:03Z,UCKQKIY2YlI4L5QVg7hhfjrQ,Dharma Productions,1,2022-01-01T00:00:00Z,[None],16954791,441028,0,13424,https://i.ytimg.com/vi/4XmgqWXBnRA/default.jpg,False,False
3,IIAq4rrV7hE,BUYING THE MOST EXPENSIVE HOUSE | GTA V GAMEPLAY #142,2021-12-31T04:34:18Z,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,20,2022-01-01T00:00:00Z,GTA|GTA 5|GTA ONLINE|PC|gta 5 gameplay|gta v hindi gameplay|gta 5 funny moments|gta 5 wins|gta 5 lamborghini|gta 5 stealing supercar|gta 5 stunts|gta 5 thug life|grand theft auto v|gta v online|gta 5|gta 5 epic moments|gta v funny moments|awesome gta 5 stunts|best moments|aj gaming|arish khan|hindustan gamer|chapati hindustani gamer|techno gamerz,8492797,999836,0,100720,https://i.ytimg.com/vi/IIAq4rrV7hE/default.jpg,False,False
4,0K5Qx6dcC5E,Dhamaka 😱 Experiment BY @The Experiment TV @MR. INDIAN HACKER @Crazy XYZ #shorts #short,2021-12-30T02:30:00Z,UCwVRB04LYKsMeGmPK77fJ0w,Sab Milega Yaha,22,2022-01-01T00:00:00Z,Best Experiments In India|Crazy XYZ|Dhamaka|Experiment|Experiment King|Experiment Video|Experimental Videos|Hindi Science Experiments|Mr Indian Hacker|Mr. Indian Hacker|SMY|Sab Milega Yaha|Science experiments|The Experiment Tv|The Indian Unboxer|Yash Ke Experiment|Yash Ke Experiments|crazy xyz channel|crazy xyz new video|crazy xyz video|dhamaka review|dhamaka song|dhamaka trailer|experiment tv|new video|solar balloon|youtube shorts|😱,7669326,610128,0,722,https://i.ytimg.com/vi/0K5Qx6dcC5E/default.jpg,False,False
5,Gi83R8jEqZU,Valimai Official Trailer | Ajith Kumar | Yuvan Shankar Raja | Vinoth | Boney Kapoor | Zee Studios,2021-12-30T12:59:23Z,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,10,2022-01-01T00:00:00Z,Sony Music South|Sony Music|Latest Song|Tamil Latest Song|Tamil Latest Songs 2020|Tamil Latest Songs 2021|Songs in Tamil|Latest Tamil Movies|Tamil Movie Songs|Latest Video Songs Tamil|valimai|valimai trailer|valimai songs|ajith kumar|ajith kumar valimai|yuvan songs|ajith songs|ajith valimai|valimai motion poster|valimai official motion poster|valimai songs tamil|Naanga Vera Maari|valimai glimpses|valimai teaser|Valimai Making video|mother song,13043077,1398068,0,98601,https://i.ytimg.com/vi/Gi83R8jEqZU/default.jpg,False,False
6,puFpFXnrcgs,Minku and TV Shows in morning ❤️😂 | @Raj Grover | #shorts,2021-12-30T12:31:24Z,UC6ylikHBX9_es8TIf0vmiUQ,Raj Grover,24,2022-01-01T00:00:00Z,Minku and TV Shows|Morning|Morning TV Shows|Teleshopping|Kids and tv shows|Kids in morning|Morning comedy|Relatable|Relatable comedy|Comedy|Funny|Comedy memes|Funny memes|Comedy Videos|Funny Videos|Relatable Videos|Fun|Cry|Team raj|Raj grover|Raj grover reels|Raj grover shorts|Reels star,5920678,500103,0,0,https://i.ytimg.com/vi/puFpFXnrcgs/default.jpg,True,False
7,RR4ykx4jCKk,Bichare Toothpaste ki jaan nikal di😂 ~ INDIA 🇮🇳 vs JAPAN 🇯🇵 vs USA 🇺🇸 | Abhay Bhadoriya #shorts,2021-12-29T07:30:13Z,UCC8-GatMM-uWI15810eqIpg,Abhay Bhadoriya,24,2022-01-01T00:00:00Z,[None],11632499,542402,0,3350,https://i.ytimg.com/vi/RR4ykx4jCKk/default.jpg,False,False
8,PH2fiRWUNCI,Maa 31st Dawath | Amazing Village Comedy🤣 | Creative Thinks,2022-01-01T02:46:27Z,UC6RpJsr061UxFL8bvI9YW4A,Creative Thinks,24,2022-01-01T00:00:00Z,Telugu|village|village comedy|village culture|village show|the village|comedy|creative thinks|funny|#village|short films|village girl|village people|funny videos|my village|village nature|telugu short films|village fun|telugu funny videos|telugu comedy videos|creative thinks new|creative thinks latest|telugu comedy|chinni|Childhood|sri|new year|31st comedy|31st dawath|dawath|daawath|party|kodi|Amazing videos,506682,31925,0,5988,https://i.ytimg.com/vi/PH2fiRWUNCI/default.jpg,False,False
9,12DCLeG3mGI,మా నాన్న Home Tour || Lakshmi Manchu,2021-12-30T04:50:57Z,UCNfrxbERiANV_N-bcUCnYHg,Lakshmi Manchu,22,2022-01-01T00:00:00Z,manchu|manchu lakshmi|telugu actress|tollywood|love|model|fashion|cinema|home tour|my home tour|lover of life|manchu lakshmi vlogs|actress vlogs|telugu vlogs|home tour vlogs|my home|housetour|modernhome|housebeautiful|home decoration|luxuryhomes|mytradhome|homesweethome|homedecor|mohan babu|mohan babu home|mohan babu home tour|manchu home tour|manchu mohan babu|manchu family|family home tour|manchu lakshmi home tour|manchu vishnu|telugu home tour,3456638,92643,0,4508,https://i.ytimg.com/vi/12DCLeG3mGI/default.jpg,False,False
